34363670,31241.61,2010-09-13,"BICYCLE LOCKERS FOR THE MINNEAPOLIS VAMC",41490946,561,"Department of Veterans Affairs"
34824743,5478.2,2010-07-23,"MOTOMED VIVA1 W/BIKE PEDALS. MOTOMED WITH BICYCLE PEDALS (INCLUDING ANALYSIS).",23875785,561,"Department of Veterans Affairs"
34833397,4750,2009-12-08,"MODEL DUO 42"" RED SIDE BY SIDE       1  EA   4600.00        4600.00         TANDEM BICYCLE.",49089082,561,"Department of Veterans Affairs"
35676625,10932.5,2010-08-24,"PURCHASE ICE CREAM PUSHCART WITH BICYCLE WHEELS",25412293,561,"Department of Veterans Affairs"
35716811,3319,2010-09-16,"BICYCLES FOR MENTAL HEALTH",17117980,561,"Department of Veterans Affairs"
36077394,3531.98,2014-09-30,"REGIONAL OFFICE VRE FUNDS FOR RECUMBENT BICYCLE PACKAGE",5579829,561,"Department of Veterans Affairs"
36186775,9145.98,2015-06-03,"BICYCLE SOCKET",19914056,561,"Department of Veterans Affairs"
36228099,5892.26,2016-10-28,"PROSTHETICS - BICYCLE",42820342,561,"Department of Veterans Affairs"
36251939,41918.84,2013-06-11,"BICYCLES AND STATIONARY BIKES FOR PHYSICAL MEDICINE AND REHAB",35198843,561,"Department of Veterans Affairs"
36289762,16788.5,2017-02-23,"CUSTOM BICYCLE",4499227,561,"Department of Veterans Affairs"
36320994,3862.08,2015-07-08,"RECUMBENT BICYCLE PRO 2",23015207,561,"Department of Veterans Affairs"
36427931,7976.2,2014-11-03,"POLICE BICYCLES AND ACCESSORIES",3373024,561,"Department of Veterans Affairs"
36440410,4596,2017-03-13,"RECUMBENT BICYCLE",20530426,561,"Department of Veterans Affairs"
36450690,16869.46,2013-07-11,"BICYCLE EQUIPMENT NEED FOR RECREATION",13015956,561,"Department of Veterans Affairs"
36468170,5323.04,2016-07-18,"PROSTHETIC BICYCLE LEG",21174395,561,"Department of Veterans Affairs"
36477565,4710.87,2017-04-24,"RECUMBENT BICYCLE",39028635,561,"Department of Veterans Affairs"
36576397,13550,2015-06-08,"CARBON BICYCLE",970858,561,"Department of Veterans Affairs"
36678254,4370,2015-01-21,"BICYCLE (HAND POWERED)",45666667,561,"Department of Veterans Affairs"
36704575,3490.96,2013-08-23,"RECUMBENT BICYCLE",42080793,561,"Department of Veterans Affairs"
36708946,20250,2013-10-01,"GROUP FITNESS TRAINING, NUTRITION EDUCATION, AND BICYCLE SAFETY CLASSES. IGF::OT::IGF",7054086,561,"Department of Veterans Affairs"
36711054,6645,2014-09-16,"TANDEM RECUMBENT BICYCLE",3434537,561,"Department of Veterans Affairs"
36716450,12376.84,2015-07-07,"RECUMBENT BICYCLES FOR VETERAN OUTDOOR USE X 3",52409179,561,"Department of Veterans Affairs"
36720372,10572.91,2015-11-06,"BICYCLE FOR VETERAN HOME USE - TWO",12876690,561,"Department of Veterans Affairs"
36720986,6500,2016-02-01,"TANDEM BICYCLE",3192680,561,"Department of Veterans Affairs"
36725498,4150.06,2016-11-18,"CUSTOM BICYCLE",47430281,561,"Department of Veterans Affairs"
36725594,4703.96,2016-12-15,"CUSTOM BICYCLE",21753353,561,"Department of Veterans Affairs"
36734339,3811.22,2012-01-18,"POLICE BICYCLES",15662684,561,"Department of Veterans Affairs"
36734543,4665,2011-06-06,"VA261-12-P-0945, 640-RQ3229 REHAB BICYCLE",53590317,561,"Department of Veterans Affairs"
36736303,3624.99,2012-02-24,"VA640-2R5838 - TANDEM BICYCLE",17773498,561,"Department of Veterans Affairs"
36736334,3215.32,2012-03-22,"BICYCLE",48906606,561,"Department of Veterans Affairs"
36736335,3025.83,2012-04-30,"BICYCLE",45961215,561,"Department of Veterans Affairs"
